molecule_chembl_id,target_chembl_id,canonical_smiles,pIC50,bioactivity_class
CHEMBL456252,CHEMBL1957,COc1cc2c(cc1Nc1nc(Nc3ccsc3C(N)=O)c3cc[nH]c3n1)N(C(=O)CN(C)C)CCC2,9.698970004336019,1
CHEMBL3939222,CHEMBL1957,Cn1cc(-c2cccc(Cc3c4c(nn3C)CCc3cnc(Nc5ccn(CCN6CCOCC6)n5)nc3-4)c2)cn1,9.67778070526608,1
CHEMBL3939119,CHEMBL1957,COc1cc(C(=O)NCCN2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccc(-c3cnn(C)c3)cc1)CC2,9.67778070526608,1
CHEMBL3962418,CHEMBL1957,CC(=O)N1CCC(n2cc(Nc3ncc4c(n3)-c3c(nn(C)c3-c3ccc(-c5cnn(C)c5)cc3)CC4)cn2)CC1,9.67778070526608,1
CHEMBL3893469,CHEMBL1957,CC(C)n1cc(-c2ccc(-c3c4c(nn3C)CCc3cnc(Nc5cnn(CCN(C)C)c5)nc3-4)cc2)cn1,9.67778070526608,1
CHEMBL3920449,CHEMBL1957,CCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(CC(=O)N(C)C)c4)cc2)CC3)n1,9.67778070526608,1
CHEMBL3943667,CHEMBL1957,CCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(CCOC)c4)cc2)CC3)n1,9.657577319177793,1
CHEMBL3924709,CHEMBL1957,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccc(-c3cnn(C)c3)cc1)CC2,9.657577319177793,1
CHEMBL3943015,CHEMBL1957,CCS(=O)(=O)CCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2Cc2cccc(-c4cnn(C)c4)c2)CC3)n1,9.657577319177793,1
CHEMBL3969265,CHEMBL1957,COCCN(C)C(=O)c1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(C)c4)cc2)CC3)c(OC)c1,9.657577319177793,1
CHEMBL3981473,CHEMBL1957,Cn1cc(-c2ccc(-c3c4c(nn3C)CCc3cnc(Nc5ccn(CCO)n5)nc3-4)cc2)cn1,9.638272163982407,1
CHEMBL3905880,CHEMBL1957,Cn1cc(Nc2ncc3c(n2)-c2c(nn(C)c2Cc2cccc(-c4cnn(C)c4)c2)CC3)cn1,9.638272163982407,1
CHEMBL3926795,CHEMBL1957,Cn1cc(-c2cccc(Cc3c4c(nn3C)CCc3cnc(Nc5ccn(CCCn6ccnc6)n5)nc3-4)c2)cn1,9.638272163982407,1
CHEMBL4112878,CHEMBL1957,COc1cc(C(=O)N[C@@H]2CCN(C)C[C@H]2OC)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccc(-c3cnn(C)c3)cc1)CC2,9.638272163982407,1
CHEMBL3979595,CHEMBL1957,Cn1cc(-c2ccc(-c3c4c(nn3C)CCc3cnc(Nc5cnn(C6CCN(S(C)(=O)=O)CC6)c5)nc3-4)cc2)cn1,9.638272163982407,1
CHEMBL3914672,CHEMBL1957,COCCN1CCN(CCn2ccc(Nc3ncc4c(n3)-c3c(nn(C)c3Cc3cccc(-c5cnn(C)c5)c3)CC4)n2)CC1,9.619788758288394,1
CHEMBL3953426,CHEMBL1957,CCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2Cc2cccc(-c4cnn(C)c4)c2)CC3)n1,9.619788758288394,1
CHEMBL3962491,CHEMBL1957,CN(C)[C@H]1CCN(C(=O)Cn2ccc(Nc3ncc4c(n3)-c3c(nn(C)c3-c3ccc(-c5cnn(C)c5)cc3)CC4)n2)C1,9.619788758288394,1
CHEMBL3979113,CHEMBL1957,COCCCn1cc(-c2ccc(-c3c4c(nn3C)CCc3cnc(Nc5ccn(CCN(C)C)n5)nc3-4)cc2)cn1,9.602059991327963,1
CHEMBL3902316,CHEMBL1957,CCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(CCN(C)CCOC)c4)cc2)CC3)n1,9.602059991327963,1
