molecule_chembl_id,canonical_smiles,CHEMBL203,CHEMBL2842,CHEMBL614725,CHEMBL1957
CHEMBL1086151,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(Nc2ccc([N+](=O)[O-])cc2Cl)=N1,0,0,0,0
CHEMBL1086152,Cc1ccc(NC(=O)c2c(C)nc(S(=O)(=O)Cc3ccccc3)nc2-c2ccc(O)cc2O)cc1,0,0,0,0
CHEMBL1086377,CCN1CCN(CC(=O)Nc2ccc(-c3cccc4c(=O)cc(N5CCOCC5)oc34)c3sc4ccccc4c23)CC1,0,0,0,0
CHEMBL1086615,Cc1nc(-c2c[nH]c3ccccc23)co1,0,0,0,0
CHEMBL1086616,COc1ccc(-c2nc(-c3c[nH]c4ccccc34)co2)cc1OC,0,0,0,0
CHEMBL1087018,c1ccc(Cc2nc(-c3c[nH]c4ccccc34)co2)cc1,0,0,0,0
CHEMBL1087019,Clc1ccc(-c2nc(-c3c[nH]c4ccccc34)co2)cc1,0,0,0,0
CHEMBL1087021,c1ccc2c(-c3cocn3)c[nH]c2c1,0,0,0,0
CHEMBL1087054,CC1=C(C(=O)Nc2ccc(C)cc2)C(c2ccc(O)cc2O)NC(SCc2ccccc2)=N1,0,0,0,0
CHEMBL1087055,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(SCc2ccccc2)=N1,0,0,0,0
CHEMBL1087421,COc1cc2c(cc1Cl)C(c1ccc(Cl)c(Cl)c1)=NCC2,0,0,0,0
CHEMBL1087440,CC1=NN(C2=NC(C)=C(C(=O)Nc3cccc([N+](=O)[O-])c3)C(c3ccc(O)cc3O)N2)C(=O)/C1=C/c1ccco1,0,0,0,0
CHEMBL1087566,CC1=NN(C2=NC(C)=C(C(=O)Nc3cccc([N+](=O)[O-])c3)C(c3ccc(O)cc3O)N2)C(=O)/C1=C/c1cccs1,0,0,0,0
CHEMBL108793,CCn1c(=O)/c(=C2\Sc3ccccc3N2C)s/c1=C\c1sc2ccccc2[n+]1CC.[I-],0,0,1,0
CHEMBL1088169,Oc1ccc(-c2nc(-c3c[nH]c4ccccc34)co2)cc1,0,0,0,0
CHEMBL1088170,C(=C/c1nc(-c2c[nH]c3ccccc23)co1)\c1ccccc1,0,0,0,0
CHEMBL1088181,Cn1cc(-c2coc(C3CCNCC3)n2)c2ccccc21,0,0,0,0
CHEMBL1088240,COc1cc(Nc2c(C#N)cnc3cc(/C=C/CCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,0,0,0,0
CHEMBL1088315,COc1cc(-c2nc(-c3cn(C)c4ccccc34)co2)ccc1OCc1ccccc1,0,0,0,0
CHEMBL1088345,CC(C)(C)c1ccc(-n2cc(-c3cccc(NC(=O)CCCCCCC(=O)NO)c3)nn2)cc1,0,0,1,0
CHEMBL1088348,CC1=C(C(=O)Nc2ccc(C)cc2)C(c2ccc(O)cc2O)NC(NCc2ccccc2)=N1,0,0,0,0
CHEMBL1088454,COc1cc(-c2nc(-c3c[nH]c4ccccc34)co2)ccc1O,0,0,0,0
CHEMBL1088633,COc1cc2c(cc1Cl)C(c1cccc(Cl)c1)=NCC2,0,0,0,0
CHEMBL1088735,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(Cc3ccc(O)cc3)nn2)c1)NO,0,0,1,0
CHEMBL1088741,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCCn4cc(C(=O)O)cn4)cc[nH]c3=O)nc12,0,0,0,0
CHEMBL1088745,CCn1cc(/C=C2\Oc3cccc(O)c3C2=O)c2c(-c3ccc(C(=O)N4CCN(CCO)CC4)cc3)ccnc21,0,1,0,0
CHEMBL1088790,OCc1cccc(-c2nc(N3CCOCC3)c3[nH]cc(CN4CCCC4)c3n2)c1,0,0,0,0
CHEMBL1088791,Cn1ccc2nc(-c3cccc(CO)c3)nc(N3CCOCC3)c21,0,0,0,0
CHEMBL1088831,Oc1cccc(-c2nc(N3CCOCC3)c3[nH]cc(C4CCN(Cc5ccccc5)CC4)c3n2)c1,0,0,0,0
CHEMBL1088832,Oc1cccc(-c2nc(N3CCOCC3)c3[nH]cc(C4CCN(Cc5ccc(F)cc5)CC4)c3n2)c1,0,0,0,0
CHEMBL1088835,COc1ccc2[nH]c(C)c(/C=C3\Oc4cc(O)cc(O)c4C3=O)c2c1,0,1,0,0
CHEMBL1088901,CN(C)CCCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1,0,0,0
CHEMBL1088931,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1)c1c(F)cccc1F,0,0,0,0
CHEMBL1088973,CN1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(N5C6CCC5COC6)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1,0,1,0,0
