molecule_chembl_id,canonical_smiles,standard_value_nM
CHEMBL67,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O,7.2
CHEMBL2420629,O=C(NCc1ccc(S(=O)(=O)c2cc(F)cc(F)c2)cc1)c1ccc2nccn2c1,7.4
CHEMBL254849,COc1ccc(CS(=O)(=O)/C=C/c2c(OC)cc(OC)cc2OC)cc1,8.0
CHEMBL4441771,C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)ncnc3C(C)C)c3nc(-c4c(O)cccc4F)c(F)cc23)[C@@H](C)C1,9.0
CHEMBL3216446,Cl.Cl.N=C(N)c1ccc2nc(-c3ccc(-c4nc5ccc(C(=N)N)cc5s4)o3)sc2c1,10.0
CHEMBL3215587,Cl.Cl.N=C(N)c1ccc2nc(-c3ccc(-c4nc5ccc(C(=N)N)cc5s4)s3)sc2c1,10.0
CHEMBL2335138,CN1CCN(CCCNc2cc3c(=O)n(CCCN4CCOCC4)c(=O)c4c(NCCCN5CCN(C)CC5)cc5c(=O)n(CCCN6CCOCC6)c(=O)c2c5c34)CC1,10.0
CHEMBL2335142,CN1CCN(CCNc2cc3c(=O)n(CCCN4CCOCC4)c(=O)c4c(NCCN5CCN(C)CC5)cc5c(=O)n(CCCN6CCOCC6)c(=O)c2c5c34)CC1,10.0
CHEMBL4078023,Cc1nc(C)c(/C=C2\CN(C)C/C(=C\c3nc(C)c(C)nc3C)C2=NO)nc1C,10.0
CHEMBL3215586,Cl.Cl.c1cc(-c2ccc(-c3nc4ccc(C5=NCCN5)cc4s3)o2)ccc1C1=NCCN1,10.0
CHEMBL4159771,COc1c(Br)c2c(c(OC)c1OC)-c1cc3cc(CO)[nH]c3cc1[C@@H](NC(C)=O)CC2,10.0
CHEMBL109480,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,10.09
CHEMBL4452622,C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)cccc3C(C)C)c3nc(-c4c(O)cccc4F)c(F)cc23)[C@@H](C)C1,11.0
CHEMBL4439782,C=CC(=O)N1CCN(c2nc(=O)n(-c3ccccc3C(C)C)c3nc(-c4c(O)cccc4F)c(Cl)cc23)CC1,11.0
CHEMBL18351,COc1ccc(-c2oc3c(OC)c(OC)c(OC)c(O)c3c(=O)c2OC)cc1O,12.0
CHEMBL4450041,C=CC(=O)N1CCN(c2nc(=O)n(-c3ccccc3C(C)C)c3nc(-c4ccccc4O)c(Cl)cc23)[C@@H](C)C1,13.0
CHEMBL837,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,13.0
CHEMBL4449810,C=CC(=O)N1CCN(c2nc(=O)n(-c3ccccc3C(C)C)c3cc(-c4c(O)cccc4F)c(Cl)cc23)[C@@H](C)C1,14.0
CHEMBL4465918,O=C(CCCC(=O)N1C[C@@H](CCl)c2c1cc(O)c1ccccc21)N1C[C@@H](CCl)c2c1cc(O)c1ccccc21,14.1
CHEMBL90555,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,15.0
CHEMBL252164,CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,15.09
CHEMBL4591772,C=CC(=O)N1CCN(c2nc(=O)n(-c3ccccc3C(C)C)c3nc(-c4ccccc4Cl)c(Cl)cc23)[C@@H](C)C1,16.0
CHEMBL4097664,COc1cc2c(c(OC)c1OC)-c1cc3cc(COC(C)=O)oc3cc1C(=O)CC2,16.0
CHEMBL4458041,C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C(C)C)ccnc3C)c3nc(-c4c(O)cccc4F)c(F)cc23)[C@@H](C)C1,16.0
CHEMBL888,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,16.0
CHEMBL4070492,COc1cc2c(c(OC)c1OC)-c1cc3cc(CO)oc3cc1C(O)CC2,16.0
CHEMBL4569344,C=CC(=O)N1CCN(c2nc(=O)n(-c3ccccc3C(C)C)c3cc(-c4cc(O)cc5ccccc45)c(Cl)cc23)CC1,17.0
CHEMBL507361,O=C(NOC[C@H](O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F,17.0
CHEMBL1972860,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c1ccccc1,17.11
CHEMBL4454645,C=CC(=O)N1CCN(c2nc(=O)n(-c3ccccc3C(C)C)c3cc(-c4ccccc4Cl)c(Cl)cc23)[C@@H](C)C1,18.0
CHEMBL2146520,CCCCCCC/C=C/C=C/C(=O)N[C@H](C(=O)N[C@H]1CCCCNC(=O)/C=C/[C@H](C)NC1=O)[C@@H](C)O,18.0
CHEMBL519668,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(-c3ccccc3)nn2)c1)NO,20.0
CHEMBL4476547,CN1C/C(=C\c2ccc(N(C)C)cc2[N+](=O)[O-])C(=NO)/C(=C/c2ccc(N(C)C)cc2[N+](=O)[O-])C1,20.0
CHEMBL464221,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(I)c1F,20.0
CHEMBL1083151,COc1cc(Nc2nccc(-c3sc(C)nc3C)n2)cc(OC)c1OC,22.0
CHEMBL4469638,C=CC(=O)N1CCN(c2nc(=O)n(-c3ccccc3C(C)C)c3cc(-c4ccccc4F)c(Cl)cc23)CC1,22.0
CHEMBL2376666,NC(=O)c1c(Nc2ccc(I)cc2F)cc(F)cc1Oc1cccc(NS(N)(=O)=O)c1,23.0
CHEMBL2172463,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H]2[C@H](OCN2C(=O)OCc2ccc(NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](C)NC(=O)CNC(C)=O)cc2)[C@H](C)O1.O=P(O)(O)O,23.44
CHEMBL325023,Cc1nc(C)c(-c2[nH]nc3c2C(=O)c2c(NC(=O)NN4CCN(C)CC4)cccc2-3)s1,26.0
CHEMBL1172549,COc1cc(C(=O)/C=C/c2c[nH]c3ccccc23)cc(OC)c1OC,30.0
CHEMBL4093642,COc1cc(Br)c(/C=C2\CN(C(C)C)CC(=C\c3nc(C)c(C)nc3C)/C2=N/O)cc1OC,30.0
CHEMBL3672369,Cc1cc(O)c(-c2ccc([C@@H](C)CN(C)C)cc2)c2c1[nH]c(=O)c1sccc12,30.0
CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,30.0
CHEMBL1643903,COc1ccc(-c2oc3c(OC)c(OC)c(OC)c(O)c3c(=O)c2OC)cc1N,33.0
CHEMBL4517656,C=CC(=O)N1CCN(c2nc(=O)n(-c3ccccc3C(C)C)c3cc(-c4c(O)cccc4F)c(Cl)cc23)CC1,33.0
CHEMBL4167516,C=Cc1c(C)c2cc3nc(c(CC(=O)OC)c4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CC)c(C)c4C(=O)NCCOCCOCCNC(=O)CCCC(=O)Oc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC)C(CCC(=O)OC)C3C,35.0
CHEMBL1094709,O=C(CCCCCCC(=O)Nc1cccc(-n2cc(-c3ccccc3)nn2)c1)NO,40.0
CHEMBL106653,CC[n+]1c(/C=c2\s/c(=C3/Sc4ccccc4N3C)c(=O)n2-c2ccccc2)sc2ccccc21.Cc1ccc(S(=O)(=O)[O-])cc1,40.0
CHEMBL320647,C[C@@](O)(CCl)[C@H]1Cc2ccc3oc4c(N5CC[C@H](N)C5)c(F)cc5c(=O)c(C(=O)O)cn(c3c2O1)c45,40.0
CHEMBL3216912,CC(C)NC(=N)c1ccc(-c2ccc(-c3nc4ccc(C(=N)NC(C)C)cc4s3)s2)cc1.Cl.Cl,40.0
CHEMBL2335140,CN1CCN(CCCNc2cc3c(=O)n(CCN4CCOCC4)c(=O)c4c(NCCCN5CCN(C)CC5)cc5c(=O)n(CCN6CCOCC6)c(=O)c2c5c34)CC1,40.0
CHEMBL490294,COc1cc(/C=C\c2ccc(OC)c(N)c2)cc(OC)c1.Cl,40.0
CHEMBL4438343,C=CC(=O)N1CCN(c2nc(=O)n(-c3ccccc3C(C)C)c3cc(-c4ccccc4C(F)(F)F)c(Cl)cc23)[C@@H](C)C1,40.0
CHEMBL1094408,COc1ccc(N2CCN(C)CC2)cc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,44.0
CHEMBL4460245,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@@]3(CC)OC(=O)CNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,46.0
CHEMBL2047532,O=C(CCCO[N+](=O)[O-])Oc1ccccc1C(=O)Oc1ccc(-c2cc(=S)ss2)cc1,47.0
CHEMBL2013119,COc1cc(OC)c(/C=C/S(=O)(=O)Cc2ccc(OC)c(NCC(=O)[O-])c2)c(OC)c1.[Na+],50.0
CHEMBL108793,CCn1c(=O)/c(=C2\Sc3ccccc3N2C)s/c1=C\c1sc2ccccc2[n+]1CC.[I-],50.0
CHEMBL2435247,CN1CCN(CCCn2c(=O)c3cc(NCCCN4CCOCC4)c4c(=O)n(CCCN5CCN(C)CC5)c(=O)c5cc(NCCCN6CCOCC6)c(c2=O)c3c54)CC1,50.0
CHEMBL1272140,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)c2)CC1,52.0
CHEMBL3216447,Cl.Cl.c1cc2nc(-c3ccc(-c4nc5ccc(C6=NCCN6)cc5s4)s3)sc2cc1C1=NCCN1,60.0
CHEMBL3216913,Cl.Cl.c1cc2nc(-c3ccc(-c4nc5ccc(C6=NCCN6)cc5s4)o3)sc2cc1C1=NCCN1,60.0
CHEMBL594764,COc1ccc2c(c1)SC1=N/C(=C\c3sc4ccccc4[n+]3C)C=C(C)N12.[O-][Cl+3]([O-])([O-])[O-],60.0
CHEMBL280643,CC(=O)[O-].CCn1c(=O)/c(=C2\Sc3ccccc3N2C)s/c1=C\c1sc2ccccc2[n+]1CC,60.0
CHEMBL1083152,CNc1nc(C)c(-c2ccnc(Nc3cc(OC)c(OC)c(OC)c3)n2)s1,62.0
CHEMBL4100071,COc1cc2c(c(OC)c1OC)-c1cc3cc(CO)oc3cc1C(=O)CC2,64.0
CHEMBL4103889,COc1cc2c(c(OC)c1OC)-c1cc3cc(C(C)O)oc3cc1C(O)CC2,64.0
CHEMBL4464335,C=CC(=O)N1CC(NC(=O)Cn2c(C3CC3)c(C(=O)N3CCc4c(cccc4OC)C3)c3cc(Cl)cc(C)c32)C1,67.0
CHEMBL108063,CCN1/C(=C/C=c2\s/c(=C\c3sc4ccccc4[n+]3CC)n(-c3ccccc3)c2=O)Sc2ccccc21.[I-],70.0
CHEMBL2419515,Cc1ccc(S(=O)(=O)c2ccc(CNC(=O)N3Cc4ccncc4C3)cc2)cn1,70.0
CHEMBL4435076,CN1CC(Cc2ccc(N(C)C)cc2[N+](=O)[O-])C(=NO)C(Cc2ccc(N(C)C)cc2[N+](=O)[O-])C1,70.0
CHEMBL1269246,CN1CCN(CCCCNc2cc3c(=O)n(CCCCN4CCN(C)CC4)c(=O)c4c(NCCCCN5CCN(C)CC5)cc5c(=O)n(CCCCN6CCN(C)CC6)c(=O)c2c5c34)CC1,73.0
CHEMBL393760,COC1=CC(=O)c2c(COc3ccc(F)cc3F)c(C)n(C)c2C1=O,75.0
CHEMBL524493,COc1cc(/C=C\c2ccc3c(ccn3C)c2)cc(OC)c1,80.0
CHEMBL4064361,COc1cc(Br)c(/C=C2\CN(C)CC(=C\c3nc(C)c(C)nc3C)/C2=N\O)cc1OC,80.0
CHEMBL1879463,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,84.54
CHEMBL210209,CC(C)(Cc1ncc[nH]1)C1C(=O)Nc2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc21,85.0
CHEMBL205487,O=C(NC(=O)c1ccccc1[N+](=O)[O-])Nc1ccc(Sc2ncc(Br)cn2)cc1,86.0
CHEMBL391714,COC1=CC(=O)c2c(c(COc3c(F)cc(F)cc3F)c(C)n2C)C1=O,86.0
CHEMBL101871,C[C@]1([C@H]2Cc3ccc4oc5c(N6CC[C@H](N)C6)c(F)cc6c(=O)c(C(=O)O)cn(c4c3O2)c56)CO1,90.0
CHEMBL4085902,COc1cc(Br)c(/C=C2\CC(C)CC(=C\c3nc(C)c(C)nc3C)/C2=N/O)cc1OC,90.0
CHEMBL1172550,COc1cc(C(=O)/C=C/c2cn(C)c3ccccc23)cc(OC)c1OC,90.0
CHEMBL4094546,Cc1nc(C)c(/C=C2\CC(C)C/C(=C\c3nc(C)c(C)nc3C)C2=NO)nc1C,90.0
CHEMBL2435249,CN1CCN(CCCn2c(=O)c3cc(NC[C@H]4CCCO4)c4c(=O)n(CCCN5CCN(C)CC5)c(=O)c5cc(NC[C@@H]6CCCO6)c(c2=O)c3c54)CC1,95.0
CHEMBL203996,Nc1ccccc1C(=O)NC(=O)Nc1ccc(Sc2ncc(Br)cn2)cc1,95.0
CHEMBL4089932,COc1cc2c(c(OC)c1OC)-c1cc3cc(C(C)O)oc3cc1C(=O)CC2,100.0
CHEMBL1094710,O=C(CCCCCCC(=O)Nc1cccc(-n2cc(C3CCCCC3)nn2)c1)NO,100.0
CHEMBL1289102,COc1ccc(-c2cc(C(=O)N/N=C(\C)c3ccc(OC)c(OC)c3)[nH]n2)cc1,100.0
CHEMBL210390,Nc1cc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc2cn1,100.0
CHEMBL467793,Nc1ccc(-c2cc(C(=O)NCCCCCCC(=O)NO)no2)cc1,100.0
CHEMBL468595,Nc1cccc(-c2cc(C(=O)NCCCCCCC(=O)NO)no2)c1,100.0
CHEMBL1094707,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(C3CCCCC3)nn2)c1)NO,100.0
CHEMBL511749,CC(C)(C)OC(=O)Nc1ccc(-c2cc(C(=O)NCCCCCCC(=O)NO)no2)cc1,100.0
CHEMBL594283,CCOc1ccc2c(c1)SC1=N/C(=C\c3oc4ccccc4[n+]3C)C=C(C)N12.[O-][Cl+3]([O-])([O-])[O-],100.0
CHEMBL1076939,COc1cc(-n2cc(-c3cccc(NC(=O)CCCCCCC(=O)NO)c3)nn2)ccc1F,100.0
CHEMBL1091474,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(-c3ccc(F)cc3)nn2)c1)NO,100.0
CHEMBL2047533,O=C(CCC(=O)Oc1ccccc1C(=O)Oc1ccc(-c2cc(=S)ss2)cc1)OCCCCO[N+](=O)[O-],102.0
CHEMBL235325,COC1=CC(=O)c2c(c(COc3ccccc3[N+](=O)[O-])c(C)n2C)C1=O,104.0
CHEMBL2164993,CC(C)CCCCC/C=C/C=C/C(=O)N[C@H](C(=O)N[C@H]1CCCCNC(=O)/C=C/[C@H](C)NC1=O)[C@@H](C)O,110.0
CHEMBL1269245,CN1CCN(CCCNc2cc3c(=O)n(CCCN4CCN(C)CC4)c(=O)c4c(NCCCN5CCN(C)CC5)cc5c(=O)n(CCCN6CCN(C)CC6)c(=O)c2c5c34)CC1,110.0
CHEMBL403664,Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)[C@@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1,110.74
