molecule_chembl_id,canonical_smiles
CHEMBL3660934,COc1cc(C(=O)NC2CCN(C(C)(C)C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2C
CHEMBL3656623,COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2C
CHEMBL3660942,COc1cc(C(=O)NC2CN(C)C2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2C
CHEMBL3660923,COc1cc(C(=O)N[C@H]2CCCN(C3CCOCC3)C2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2
CHEMBL3655752,CO[C@H]1C[C@@H](C(=O)Nc2ccc(F)nc2)N(c2nc(Nc3cc(C4CC4)n[nH]3)c3cccn3n2)C1
CHEMBL3661008,COc1cc(N2CCN(C3CCN(C(C)=O)CC3)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1Cc1cccc(Cl)c1)CC2
CHEMBL3661012,CC(=O)N1CCC(N2CCC(n3cc(Nc4ncc5c(n4)-c4c(nn(C)c4Cc4ccccc4Cl)CC5C)cn3)CC2)CC1
CHEMBL3660914,COc1cc(C(=O)NC2CCN(C3CCOCC3)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2
CHEMBL3656651,CC(=O)N1CCC(n2cc(Nc3ncc4c(n3)-c3c(nn(C)c3-c3ccccc3)CC4C)cn2)CC1
CHEMBL3656650,CN1CCN(CCn2ccc(Nc3ncc4c(n3)-c3c(nn(C)c3-c3ccccc3)CC4)n2)CC1
CHEMBL3652841,CC1Cc2nn(C)c(-c3ccccc3Cl)c2-c2nc(Nc3ccn(C)n3)ncc21
CHEMBL3660936,CCN1CCC(NC(=O)c2ccc(Nc3ncc4c(n3)-c3c(nn(C)c3-c3ccccc3Cl)CC4C)c(OC)c2)CC1
CHEMBL3660925,COc1cc(C(=O)NCC2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2
CHEMBL3660937,COCCN1CCC(NC(=O)c2ccc(Nc3ncc4c(n3)-c3c(nn(C)c3-c3ccccc3Cl)CC4C)c(OC)c2)CC1
CHEMBL3656614,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1cccc(C)c1Cl)CC2
CHEMBL3661011,CC1Cc2nn(C)c(Cc3ccccc3Cl)c2-c2nc(Nc3cnn(C4CCN(C5CCOCC5)CC4)c3)ncc21
CHEMBL3656634,COCCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccccc2)C[C@H]3C)n1
CHEMBL3661013,CC1Cc2nn(C)c(Cc3ccccc3Cl)c2-c2nc(Nc3cnn(C4CCN(CCO)CC4)c3)ncc21
CHEMBL3660939,COc1cc(C(=O)NC2CCN(CCO)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2C
CHEMBL3652864,COc1ccccc1Cc1c2c(nn1C)CCc1cnc(Nc3ccc(N4CCN(C)CC4)cc3OC)nc1-2
CHEMBL3661007,COc1cc(N2CCN(C3CCOCC3)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1Cc1cccc(Cl)c1)CC2
CHEMBL3652862,COc1ccccc1Cc1c2c(nn1C)CCc1cnc(Nc3ccc(OCCN4CCCC4)cc3OC)nc1-2
CHEMBL3655750,CO[C@@H]1C[C@@H](C(=O)Nc2ccc(F)nc2)N(c2nc(Nc3cc(C4CC4)n[nH]3)c3cccn3n2)C1
CHEMBL3656652,COCCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2Cc2ccccc2C)CC3)n1
CHEMBL3660998,COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1sccc1C)CC2
CHEMBL3660922,COc1cc(C(=O)NCC(C)(C)CN(C)C)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2
CHEMBL3660926,COc1cc(C(=O)NC2CCN(C(C)(C)C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2
CHEMBL3661010,CCN1CCN(c2ccc(Nc3ncc4c(n3)-c3c(nn(C)c3Cc3cccc(Cl)c3)CC4)c(OC)c2)CC1
CHEMBL3660941,COc1cc(C(=O)NC2CCN(C3CCOCC3)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2C
CHEMBL463932,COc1cc(N2CCN(C(C)C)CC2)ccc1Nc1nc(Nc2ccc(F)c(F)c2C(N)=O)c2cc[nH]c2n1
CHEMBL3824301,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2C(C)=O)n1
CHEMBL3824246,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2C(N)=O)n1
CHEMBL476451,CCCN1CCC=C(c2ccc(Nc3nc(Nc4ccccc4C(N)=O)c4cc[nH]c4n3)cc2)C1
CHEMBL1964272,CCCN1CCC=C(c2ccc(Nc3nc(Nc4ccccc4C(N)=O)c4cc[nH]c4n3)c(F)c2)C1
CHEMBL514615,COc1cc(N2CCN(C(C)C)CC2)c(Cl)cc1Nc1nc(Nc2cccc(F)c2C(N)=O)c2cc[nH]c2n1
CHEMBL477950,COc1cc(N2CCOCC2)ccc1Nc1nc(Nc2cc(F)ccc2C(N)=O)c2cc[nH]c2n1
CHEMBL476059,CCCN1CCN(c2ccc(Nc3nc(Nc4cc(F)ccc4C(N)=O)c4cc[nH]c4n3)c(OC)c2)CC1
CHEMBL575448,C[C@@]1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)n[nH]2)c2cccn2n1
CHEMBL3824304,COc1cc(P(C)(C)=O)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1
CHEMBL3822672,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)N(C)C)n1
CHEMBL507625,COc1cc(N2CCN(C(C)C)CC2)ccc1Nc1nc(Nc2cccc(F)c2C(N)=O)c2cc[nH]c2n1
CHEMBL3652822,Cn1nccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2
CHEMBL3661015,CCOc1cc(N2CCN(C(=O)N(C)C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1Cc1ccccc1)CC2
CHEMBL3660921,COc1cc(C(=O)NC2CCC(N(C)C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2
CHEMBL3656621,COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccc(F)cc1Cl)CC2
CHEMBL3660953,CN1CCC(NC(=O)c2ccc(Nc3ncc4c(n3)-c3c(nn(C)c3Cc3ccccc3)CC4)c(Cl)c2)CC1
CHEMBL3655753,CO[C@H]1C[C@@H](C(=O)Nc2ncns2)N(c2nc(Nc3cc(C4CC4)n[nH]3)c3cccn3n2)C1
CHEMBL3655759,Cc1nnn([C@H]2C[C@@H](C(=O)Nc3ccc(F)nc3)N(c3nc(Nc4cc(C5CC5)n[nH]4)c4cccn4n3)C2)n1
CHEMBL3660963,COc1cc(C(=O)N[C@@H]2CCN(C3CCOCC3)C2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2
CHEMBL3656657,COCCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2Cc2ccccc2Cl)CC3)n1
CHEMBL3660920,COc1cc(C(=O)N[C@@H]2CCN(C3CCN(C)CC3)C2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2
CHEMBL3660978,COc1cc(C(=O)N[C@H]2CC[C@H](N3CCN(CC4CC4)CC3)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2
CHEMBL3660924,COc1cc(C(=O)NCCN2CCOCC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2
CHEMBL3656658,CN(C)CCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2Cc2ccccc2Cl)CC3)n1
CHEMBL3660935,COc1cc(C(=O)NC2CCN(CC3CC3)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2C
CHEMBL3660938,COc1cc(C(=O)N[C@H]2CC[C@H](N3CCOCC3)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2C
CHEMBL3656560,COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccc(C)cc1C)CC2
CHEMBL3660966,COc1cc(C(=O)NC2CN(C)C2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1)CC2
CHEMBL575447,C[C@@]1(C(=O)Nc2cnccn2)CCCN1c1nc(Nc2cc(C3CC3)[nH]n2)c2cccn2n1
CHEMBL3652865,COc1ccccc1Cc1c2c(nn1C)CCc1cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc1-2
CHEMBL3656617,COc1cc(OCCN2CCCC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccc(F)cc1Cl)CC2
CHEMBL3655754,CC1(c2cc(Nc3nc(N4C[C@@H](O)C[C@H]4C(=O)Nc4cnccn4)nn4cccc34)[nH]n2)CC1
CHEMBL3656656,Cn1nc2c(c1-c1ccccc1)-c1nc(Nc3ccn(CCN4CCOCC4)n3)ncc1CC2
CHEMBL3656659,CC1Cc2nn(C)c(-c3ccccc3)c2-c2nc(Nc3ccn(CCN(C)C)n3)ncc21
CHEMBL3652820,Cn1nc2c(c1-c1ccccc1Cl)-c1nc(Nc3ccccc3)ncc1CC2
CHEMBL3656616,COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1cccc(C)c1Cl)CC2
CHEMBL3660918,COCCN1CCC(NC(=O)c2ccc(Nc3ncc4c(n3)-c3c(nn(C)c3-c3ccccc3Cl)CC4)c(OC)c2)CC1
CHEMBL3656660,CN(C)CCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2Cc2cccc4ccccc24)CC3)n1
CHEMBL3656557,COc1cc(OCCN2CCCC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccc(C)cc1C)CC2
CHEMBL3656655,COCCn1cc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2sccc2C)CC3)cn1
CHEMBL3652848,COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1Cc1ccccc1)CC2
CHEMBL3656653,Cc1ccsc1-c1c2c(nn1C)CCc1cnc(Nc3ccccc3)nc1-2
CHEMBL3661003,CC1Cc2nn(C)c(Cc3ccccc3Cl)c2-c2nc(Nc3cnn(C4CCNCC4)c3)ncc21
CHEMBL3660917,COc1cc(C(=O)NC2CCN(C3CC3)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2
CHEMBL1091644,C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1
