molecule_chembl_id,canonical_smiles,pIC50,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL464971,COc1cc(N2CCN(C(C)C)CC2)ccc1Nc1nc(Nc2cc(F)cc(F)c2C(N)=O)c2cc[nH]c2n1,9.096910013008056,active,536.5870000000002,4.361200000000002,4.0,8.0
CHEMBL476044,CCCN1CCC=C(c2ccc(Nc3nc(Nc4cc(F)ccc4C(N)=O)c4cc[nH]c4n3)c(OC)c2)C1,9.096910013008056,active,515.5930000000002,5.190800000000003,4.0,7.0
CHEMBL459069,COc1cc(N2CCN(C(C)C)CC2)ccc1Nc1nc(Nc2cc(F)ccc2C(N)=O)c2cc[nH]c2n1,9.096910013008056,active,518.5970000000002,4.222100000000001,4.0,8.0
CHEMBL3660980,COc1cc(C(=O)NC2CN(C)C2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2,9.060480747381384,active,530.032,4.092100000000002,2.0,8.0
CHEMBL3656578,COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2,9.060480747381384,active,558.086,4.872300000000004,2.0,8.0
CHEMBL3656544,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1C)CC2,9.036212172654443,active,495.63100000000037,4.4551200000000035,1.0,8.0
CHEMBL3639546,O=C(Nc1cccnc1)[C@@H]1C[C@H](O)CN1c1nc(Nc2cc(C3CC3)n[nH]2)c2cccn2n1,9.0,active,445.48700000000014,2.0466999999999995,4.0,9.0
CHEMBL3656542,COc1cc(OCCN2CCCC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1C)CC2,9.0,active,510.64200000000034,5.177920000000005,1.0,8.0
CHEMBL3660977,COc1cc(C(=O)NCCN(C)C)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2,9.0,active,532.0480000000001,4.339700000000002,2.0,8.0
CHEMBL514828,COc1cc(N2CCN(C(C)C)CC2)ccc1Nc1nc(Nc2ccccc2C(N)=O)c2cc[nH]c2n1,9.0,active,500.60700000000026,4.083000000000001,4.0,8.0
