molecule_chembl_id,canonical_smiles,CHEMBL203,CHEMBL1957,CHEMBL2842,CHEMBL614725
CHEMBL1095776,CC(C)c1ccccc1Nc1nc(N)nc2[nH]c(Cc3ccc(Cl)cc3Cl)cc12,0,0,0,0
CHEMBL1095932,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC(C)C)CC4)c3n2)cc1,0,0,1,0
CHEMBL1095933,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC(C)(C)C)CC4)c3n2)cc1,0,0,1,0
CHEMBL109625,COc1cc2ncc(C#N)c(Nc3cccc(C(C)C)c3)c2cc1OC,0,0,0,0
CHEMBL1097358,Cc1cc(N2CCN(C)CC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,0,1,0,0
CHEMBL1097893,O=C(NCCF)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)cc1,0,0,1,0
CHEMBL1097894,CC(C)NC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)cc1,0,0,1,0
CHEMBL1097895,O=C(Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)cc1)NC1CC1,0,0,1,0
CHEMBL1097896,O=C(NCCO)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)cc1,0,0,1,0
CHEMBL1097900,O=C(Nc1ccccc1)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)cc1,0,0,1,0
CHEMBL1097901,O=C(Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)cc1)Nc1cccnc1,0,0,1,0
CHEMBL1097902,O=C(Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)cc1)Nc1ncc[nH]1,0,0,1,0
CHEMBL1097942,CC(C)OC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)NC5CC5)cc4)nc32)CC1,0,0,1,0
CHEMBL1098242,CC(C)(C)OC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)NCCF)cc4)nc32)CC1,0,0,1,0
CHEMBL1098243,CC(C)(C)OC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)NC5CC5)cc4)nc32)CC1,0,0,1,0
CHEMBL1098244,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccccc5)cc4)nc32)CC1,0,0,1,0
CHEMBL1098245,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccc(CCO)cc5)cc4)nc32)CC1,0,0,1,0
CHEMBL1098246,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccc(CCN6CCCC6)cc5)cc4)nc32)CC1,0,0,1,0
CHEMBL1098247,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccc(CCN6CCN(C)CC6)cc5)cc4)nc32)CC1,0,0,1,0
CHEMBL1098248,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccc(CCN6CCOCC6)cc5)cc4)nc32)CC1,0,0,1,0
CHEMBL1098305,NC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)cc1,0,0,1,0
CHEMBL1098306,CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)cc1,0,0,1,0
CHEMBL1098440,C#Cc1cccc(Nc2ncnc3[nH]c(Cc4ccc(Cl)cc4Cl)cc23)c1,0,0,0,0
CHEMBL110062,N#Cc1cnc2cc3c(cc2c1Nc1cccc(Br)c1)OCO3,0,0,0,0
CHEMBL110065,CCOc1cc2c(Nc3cccc(Br)c3)c(C#N)cnc2cc1OC,0,0,0,0
CHEMBL110577,COc1cc2ncc(C#N)c(Nc3cccc(O)c3)c2cc1OC,0,0,0,0
CHEMBL110945,COc1cc2ncc(C#N)c(Nc3ccc(O)c(Cl)c3)c2cc1OC,0,0,0,0
